,BSSH_NM,ADDR,HG_ASGN_LV
158,다르다 김밥주먹밥 수완직영점,광주광역시 광산구 장신로147번길 6(1층 104호 수완동),좋음
159,베스트생갈비찜&찜닭 월평점,대전광역시 서구 월평로 94(1층 일부호 월평동),매우우수
160,던킨 김해율하점,경상남도 김해시 율하6로 60(베스트프라자 101호 장유동),매우우수
161,크리스피크림건대스타시티점,"서울특별시 광진구 아차산로 262(지하1층 자양동, 더샵스타시티)",우수
162,KFC서면점,부산광역시 부산진구 중앙대로 681-1(1-2층 부전동),우수
163,BHC(비에치씨)오창과학단지점,충청북도 청주시 청원구 오창읍 과학산업5로 118-4(1층 101호),우수
164,폴바셋 롯데몰동부산점,부산광역시 기장군 기장읍 기장해안로 147(1층 A128호 롯데몰동부산점),매우우수
165,랍스터바 나인원 한남,"서울특별시 용산구 한남대로 91(지2층 한남동, 나인원 한남)",매우우수
166,그래인스,서울특별시 송파구 올림픽로 240(지하1층 잠실동),매우우수
167,배스킨라빈스 킨텍스역점,"경기도 고양시 일산서구 킨텍스로 240(181,182호 대화동, 킨텍스 꿈에그린)",매우우수
168,비에이치씨(BHC)숙대점,서울특별시 용산구 청파로71길 5(1층 청파동1가),우수
169,피자헛 수원호매실점,경기도 수원시 권선구 금곡로102번길 48(1층 102호 금곡동),매우우수
170,이디야춘천공지천점,강원도 춘천시 수변공원길 11(1층 104호 삼천동),매우우수
171,이디야,광주광역시 남구 효우2로26번길 7(1층 행암동),매우우수
172,던킨도너츠 아산충무병원점,충청남도 아산시 문화로 385(1층 101호 모종동),매우우수
173,지에스25신부도솔점,"충청남도 천안시 동남구 신부8길 21(상가1-1동 지하1층 110-111호 신부동, 도솔노블시티 동문굿모닝힐)",매우우수
174,BHC치킨 기장대청점,부산광역시 기장군 기장읍 대청로35번길 64,매우우수
175,백미당고메이494한남점,"서울특별시 용산구 한남대로 91(지2층 한남동, 나인원 한남)",매우우수
176,배스킨라빈스화정역점,"경기도 고양시 덕양구 화중로 60(화정동,화정종합상가 105호, 106호 일부)",매우우수
177,파스쿠치 파주문산DI점,경기도 파주시 문산읍 우계로 424(101호),매우우수
178,소울포크,경기도 수원시 장안구 대평로90번길 19(라이프스포츠 수원 1층 119호 정자동),매우우수
179,비에이치씨(BHC)용산삼각지점,"서울특별시 용산구 백범로99길 40(101동 1층 115,116호 한강로2가, 용산 베르디움 프렌즈)",매우우수
180,(주)미미미 잠실롯데백화점,"서울특별시 송파구 올림픽로 240(2층 잠실동, 롯데백화점 잠실점)",매우우수
181,60계치킨경주성건점,경상북도 경주시 금성로407번길 8(성건동),좋음
182,교촌치킨 계림점,광주광역시 동구 동계천로 12-1(1층 대인동),매우우수
183,던킨도너츠(강원대병원점),강원도 춘천시 백령로 156(효자동),매우우수
184,폴바셋 롯데백화점 잠실점,"서울특별시 송파구 올림픽로 240(지하1층 잠실동, 롯데백화점)",매우우수
185,동천용강점 굽네치킨,경상북도 경주시 동천로 39(1층 동천동),좋음
186,멕시카나치킨성정점,충청남도 천안시 서북구 서부13길 11(1층 성정동),매우우수
187,베스킨라빈스,부산광역시 기장군 기장읍 차성동로 63,매우우수
188,GS25 용화센트럴점,충청남도 아산시 용화로9번길 3(1동 1층 용화동),매우우수
189,피에세,"서울특별시 용산구 한남대로 91(지2층 006호 한남동, 나인원 한남)",매우우수
190,박가부대 수원영화배달점,경기도 수원시 장안구 수성로258번길 21(1층 105호 영화동),우수
191,교촌치킨원흥점,"경기도 고양시 덕양구 도래울로 110(테마시티 125,126호 도내동)",매우우수
192,이디야커피 대구죽전역점,"대구광역시 달서구 와룡로 169(판매시설동 1층 102-106호 감삼동, 월드마크웨스트엔드)",매우우수
193,소담촌,경기도 파주시 후곡로 19(3층 전부 금촌동),매우우수
